,starts,ends,bfs-iterations,bfs-lengths,bi-bfs-iterations,bi-bfs-lengths,astar-iterations,astar-lengths,bi-astar-iterations,bi-astar-lengths
0,ajhar,paget,3013,9.0,205,10.0,105,9.0,207,10.0
1,hawks,redig,11022,9.0,331,10.0,697,9.0,333,10.0
2,manes,tenty,4045,6.0,103,7.0,73,6.0,105,7.0
3,oreas,soman,3355,8.0,222,9.0,110,8.0,224,9.0
4,nieve,tipsy,5631,9.0,134,10.0,87,9.0,136,10.0
5,insol,drusy,10472,12.0,210,13.0,272,12.0,212,13.0
6,mazel,ketty,7423,8.0,273,9.0,161,8.0,275,9.0
7,hirse,misdo,12298,10.0,269,11.0,1114,10.0,271,11.0
8,dione,thrap,12455,11.0,494,12.0,1440,11.0,496,12.0
9,marko,crust,7723,8.0,273,9.0,71,8.0,275,9.0
10,astian,blotty,17165,20.0,1087,21.0,5938,20.0,1089,21.0
11,blazes,kuttab,9862,11.0,318,12.0,496,11.0,320,12.0
12,laccic,browse,9869,19.0,418,20.0,605,19.0,420,20.0
13,constr,suplex,1,inf,1,inf,2,inf,2,inf
14,choppy,emboly,20614,26.0,838,27.0,19850,26.0,840,27.0
15,gratae,yaguas,20685,inf,5,inf,20686,inf,3,inf
16,lourdy,gledge,4,inf,5,inf,5,inf,6,inf
17,elliot,pizzle,1,inf,1,inf,2,inf,2,inf
18,endows,marita,2376,15.0,346,16.0,303,15.0,348,16.0
19,telang,bussed,1,inf,1,inf,2,inf,2,inf
20,septics,bitumed,7,inf,6,inf,8,inf,9,inf
21,alpines,serging,9,inf,10,inf,10,inf,11,inf
22,hangars,scorpio,13163,inf,3,inf,13164,inf,4,inf
23,jointer,sexless,9293,19.0,2329,20.0,4120,19.0,2331,20.0
24,sleekly,plebian,1,inf,1,inf,2,inf,2,inf
25,cadlock,drabble,13163,inf,125,inf,13164,inf,127,inf
26,earache,odinite,1,inf,1,inf,2,inf,2,inf
27,adhered,amidins,3,inf,4,inf,4,inf,5,inf
28,impasse,himatia,3,inf,3,inf,4,inf,3,inf
29,dueller,weeshee,13163,inf,2,inf,13164,inf,3,inf
30,unnimble,sacatons,2,inf,2,inf,3,inf,4,inf
31,bathroom,aberrant,3,inf,3,inf,4,inf,3,inf
32,maywings,unchased,2,inf,2,inf,3,inf,4,inf
33,cordlike,carbines,1769,inf,332,inf,1770,inf,334,inf
34,omohyoid,senatrix,1,inf,1,inf,2,inf,2,inf
35,eyewinks,solanoid,1,inf,1,inf,2,inf,2,inf
36,stenting,cheetahs,1769,inf,2,inf,1770,inf,3,inf
37,skulking,dysergia,1769,inf,2,inf,1770,inf,3,inf
38,heptitol,demiwolf,1,inf,1,inf,2,inf,2,inf
39,worthily,tigellum,1,inf,1,inf,2,inf,2,inf
40,demieagle,pigritude,1,inf,1,inf,2,inf,2,inf
41,vistaless,viosterol,1,inf,1,inf,2,inf,2,inf
42,emplecton,backfield,1,inf,1,inf,2,inf,2,inf
43,venezuela,phocacean,1,inf,1,inf,2,inf,2,inf
44,retinitis,praiseful,2,inf,2,inf,3,inf,3,inf
45,dryfarmer,antennata,1,inf,1,inf,2,inf,2,inf
46,crocosmia,semipagan,1,inf,1,inf,2,inf,2,inf
47,permutate,lecidioid,1,inf,1,inf,2,inf,2,inf
48,undazzled,isocyanic,1,inf,1,inf,2,inf,2,inf
49,pyroboric,blatiform,1,inf,1,inf,2,inf,2,inf
50,underdraft,tenthmetre,4,inf,2,inf,5,inf,3,inf
51,eucharists,sphegoidea,2,inf,2,inf,3,inf,4,inf
52,honeyfogle,untheatric,2,inf,2,inf,3,inf,3,inf
53,superbrute,rabblelike,1,inf,1,inf,2,inf,2,inf
54,blastoderm,submucosae,1,inf,1,inf,2,inf,2,inf
55,dramatised,triglochid,5,inf,3,inf,6,inf,4,inf
56,bryologist,corkmaking,1,inf,1,inf,2,inf,2,inf
57,acronymous,microdrive,1,inf,1,inf,2,inf,2,inf
58,coheirship,whirlpools,1,inf,1,inf,2,inf,2,inf
59,coachwoman,precopying,1,inf,1,inf,2,inf,2,inf
